Reg No,Job role that you are interested in,Min salary,Max salary,Median salary,highest paying company,Contribution in Ex-curricular,Tech competence,Package exp,CIA of last sem,GPA of last sem,max attendance till last sem,Intern Interest
143,Data Engineer,10,25,16,DE Shaw,3,3,16,90,77,95,Research
144,Software Engineer,12,20,15,Capgemini,4,2,20,87,74,94,Industry
145,Business Analyst,12,20,13,Capgemini,2,2,17,88,77,91,Industry
146,Business Analyst,5,10,7.5,EY,3,3,5,77,74,91,Industry
147,Data Scientist,5,12,6,DE Shaw,5,4,10,70,60,90,Industry
148,Data Engineer,6,14,7,Deolite,5,4,12,65,68,90,Industry
149,Data Scientist,3 lakhs,49 lakhs,10 lakhs,DE Shaw,3,3,300000,78,70,87,Industry
150,Data Engineer,300000,40000000,2900000,Capgemini,2,3,670000,89,80,90,Industry
151,Data Engineer,10,90,30,DE Shaw,3,4,7,89,70,89,Industry
152,Data Scientist,66,66,44,DE Shaw,5,5,56,99,99,77,Industry
153,Data Scientist,400000,97790000,5999990,DE Shaw,2,3,90,89,98,90,Industry
154,Data Engineer,8,18,10,Deolite,5,3,10,82,80,94,Research
155,Software Engineer,12,25,15,Capgemini,5,4,15,87,90,88,Research
156,Business Analyst,6,12,8,DE Shaw,5,3,10,86,80,96.76,None
157,Business Analyst,10,12,11,EY,5,2,10,89,85,95,Industry
158,Data Scientist,6,25,12,DE Shaw,5,3,15,88,80,98,Industry
159,Data Scientist,10,34,76,DE Shaw,3,4,43,89,80,90,Industry
160,Data Scientist,3000000,8999000,500000,DE Shaw,3,3,90,89,98,100,Research
161,Data Engineer,3,56,20,DE Shaw,3,1,19,67,79,84,Research
162,Software Engineer,5,50,23,DE Shaw,3,2,12,78,80,84,Industry
163,Business Analyst,7,98,30,DE Shaw,4,4,17,94,81,100,Research
164,Business Analyst,7L,18L,12L,Deolite,4,4,12L,92,9.2,,Industry
